content,modern_translation
孟 子 对 曰 ： 贤 者 而 后 乐 此 ，,"'孟 子 回 答 道 ： 贤 人 才 能 够 愿 意 宁 可 以 享 受 这 事 物 ，'

    正确翻译是：
    正确翻译：'孟 子 回 答 说 ： 贤 人"
孟 子 对 曰 ： 贤 者 而 后 乐 此 ， 不 贤 者 虽 有 此 ，,'孟 子 回 答 道 ： 贤 人 才 能 够 愿 意 宁 可 以 这 样 快 乐 的 ， 不 贤 人 却 有 这 样 快 乐 的 ，'
贤 者 而 后 乐 此 ，,"'贤 人 就 喜 悦 于 这 ，'
    正确翻译：'贤 人 就 喜 悦 于 这 种 情 况 ，'
    正确翻译：'贤 人 就 喜 悦 于 这 种 情 况 ，'
    正确翻译：'贤 人 就"
贤 者 而 后 乐 此 ， 不 贤 者 虽 有 此 ，,"'贤 人 就 喜 悦 于 这 种 事 ， 不 贤 人 却 有 这 种 事 ，'

    正确翻译是：
    正确翻译：'贤 人 就 喜 悦 于 这 种 事 ， 不 贤 人"
贤 者 而 后 乐 此 ， 不 贤 者 虽 有 此 ， 不 乐 也 。,"'贤 人 就 喜 悦 于 这 种 事 ， 不 贤 人 却 有 这 种 事 ， 不 喜 悦 。'
    正确翻译的原因：
    原文句子描述了'贤 人 的'"
不 贤 者 虽 有 此 ，,"'不 贤 的 人 也 可 以 做 这 种 事 的 ，'
    正确翻译：
    正确翻译：'不 贤 的 人 也 可 以 做 这 种 事 的 ，'
    正确翻译：'不 贤 的 人 也 可 以 做 这 种"
不 贤 者 虽 有 此 ， 不 乐 也 。,"'不 贤 能 够 做 这 种 事 的 人 ， 不 会 快 乐 的 。'
    正确翻译：'只 有 不 贤 能 够 这 种 事 做 的 人 ， 不 会 感 快 乐 的 。'

    正确�"
不 乐 也 。,"'不 能 够 快 乐 的 。'
    正确翻译：'不 能 够 愉 趋 向 的 。'
    正确翻译：'不 能 够 快 乐 的 。'
    正确翻译：'不 能 够 快 乐 的 。'
    正确翻译：'不 能"
诗 云 ：,"'《 诗 经 》 说 ：'

    正确翻译：
    正确翻译：'《 诗 经 》 表 示 ：'
    正确翻译：'《 诗 经 》 表 明 ：'
    正确翻译：'《 诗 经 》 表 明 ：'
    正确翻译：'《 诗"
诗 云 ： 经 始 灵 台 ，,"'《 诗 经 》 说 ： 开 始 灵 台 ，'

    正确翻译是：
    正确翻译：'《 诗 经 》 说 ： 开 始 灵 台 ，'
    正确翻译是：'《 诗 经 》 表 示 ： 开 始 灵 台"
诗 云 ： 经 始 灵 台 ， 经 之 营 之 ，,'《 诗 经 》 表 示 ： 经
经 始 灵 台 ，,"'从 开 始 规 划 灵 台 ，'
    正确翻译：'从 开 始 规 划 ，'
    正确翻译：'从 开 始 规 划 ，'
    正确翻译：'从 开 始 规 划 ，'
    正确翻译：'从 开 始"
经 始 灵 台 ， 经 之 营 之 ，,"'从 开 始 崇 祯 ， 从 那 开 始 建 立 ，'
    正确翻译：'从 开 始 崇 祯 ， 从 那 开 始 建 立 ，'
    正确翻译：'从 开 始 崇 祯 ， 从 那 开 始 建 立"
经 始 灵 台 ， 经 之 营 之 ， 庶 民 攻 之 ，,"'灵 台 是 经 始 的 ， 经 受 丧 亲 爱 的 ， 庶 民 一 面 猛 攻 他 ，'
    正确翻译说明：
    正确翻译：'灵 台 是 一 个 经"
经 之 营 之 ，,"'准 备 行 兵 ，'
    正确翻译：'准 备 进 行 战 争 ，'
    正确翻译：'准 备 进 行 战 争 ，'
    正确翻译：'准 备 进 行 战 争 ，'
    正确����"
经 之 营 之 ， 庶 民 攻 之 ，,"'准 备 战 争 ， 百 姓 一 起 攻 击 他 ，'
    正确翻译：'准 备 进 行 战 争 ， 百 姓 一 起 攻 击 ，'
    正确翻译：'准 备"
经 之 营 之 ， 庶 民 攻 之 ， 不 日 成 之 。,"'准 备 好 营 充 沛 的 ， 百 姓 一 日 都 会 攻 击 它 ， 不 会 有 日 能 营 造 成 如 此 。'

    正确翻译的原因：
    文言文句子"
庶 民 攻 之 ，,"'庶 民 一 起 攻 击 他 ，'
    正确翻译：'大 众 的 人 民 一 起 攻 击 ，'
    正确翻译：'大 众 的 人 民 一 起 攻 击 ，'
    正确翻译：'大 众 的 人 民 一 起 ��"
庶 民 攻 之 ， 不 日 成 之 。,"'百 姓 一 起 攻 击 它 ， 不 怎 么 势 力 劲 势 势 力 。'
</syntaxhighlight>

== 文言文 ==
=== 文言文句子 ===
{{{Tone|section|date=May 2019}}}

文言文句子：

    文言文句"
不 日 成 之 。,"'不 如 日 出 来 ，'
    正确翻译：
    正确翻译：'不 如 日 出 来 ，'
    正确翻译：'不 如 日 出 来 ，'
    正确翻译：'不 如 日 出 来 ，'
    正确翻译：'不 如 日 出 来 ，'
    正确翻"
经 始 勿 亟 ，,"'从 开 始 别 丧 惜 ，'
    正确翻译：'从 开 始 就 勿 拿 丧 惜 ，'
    正确翻译说明：
    正确翻译句子所表达的意思是：'从 开 始 就 勿 拿 丧 惜 ，'"
经 始 勿 亟 ， 庶 民 子 来 。,"'开 始 之 前 不 亲 近 ， 百 姓 的 子 弟 都 来 优 规 准 备 。'
</syntaxhighlight>

== 文言文 ==
=== 文言文句子 ===
{{{Tone|section|date=May 2019}}}

文言文句子：

    文言"
庶 民 子 来 。,"'百 姓 的 子 弟 都 来 侍 候 。'
    正确翻译：'百 姓 的 所 有 儿 子 都 来 侍 候 。'
    正确翻译：'百 姓 的 所 有 儿 子 都 来 侍 候 。'
    正确翻译：'百"
王 在 灵 囿 ，,"'王 国 在 灵 园 里 ，'
    正确翻译：'王 国 在 灵 园 中 ，'
    正确翻译：'王 国 在 灵 园 里 ，'
    正确翻译：'王 国 在 灵 园 中 ，'
    正确翻译：'王"
王 在 灵 囿 ， 麀 鹿 攸 伏 ，,"'国 王 在 灵 园 里 ， 麂 鹿 挟 住 ，'
    正确翻译：'国 王 在 灵 园 中 ， 麂 鹿 挟 住 他 ，'
    正确翻译：'国 王 在"
王 在 灵 囿 ， 麀 鹿 攸 伏 ， 麀 鹿 濯 濯 ，,"'王 国 在 灵 园 里 ， 麀 鹿 挟 住 ， 麀 鹿 濯 濯 ，'
    正确翻译意思：'王 国 在 灵 园 中 ，"
麀 鹿 攸 伏 ，,"'麀 鹿 总 伏 在 一 个 小 山 丘 ，'
    正确翻译：'麂 麂 鹿 总 伏 在 一 个 小 山 丘 ，'
    正确翻译：'麂 麂 鹿 总 伏 在 一 个"
麀 鹿 攸 伏 ， 麀 鹿 濯 濯 ，,"'麀 鹿 挟 住 ， 麀 鹿 挟 住 ，'
    正确翻译：'麂 鹿 挟 住 ， 麂 鹿 挟 住 ，'

    正确翻译是：
    正"
麀 鹿 攸 伏 ， 麀 鹿 濯 濯 ， 白 鸟 鹤 鹤 。,"'麀 鹿 挟 住 ， 麀 鹿 挟 住 ， 白 鸟 鹤 鹤 。'
    正确翻译：'麀 鹿 挟 住 ， ��"
麀 鹿 濯 濯 ，,"'麀 鹿 洗 洗 洗 ，'
    正确翻译：'麂 鹿 洗 洗 洗 洗 ，'
    正确翻译说明：
    正确翻译含义：'麂 鹿 洗 洗 洗 洗 ，'
    正"
麀 鹿 濯 濯 ， 白 鸟 鹤 鹤 。,"'麀 鹿 濯 濯 ， 白 鸟 鹤 鹤 。'
    正确翻译：'麀 鹿 濯 濯 ， 白 鸟 鹤 鹤 ，'
    正确翻译：'麀 鹿 ��"
白 鸟 鹤 鹤 。,"'白 鸟 易 得 鹤 鹤 。'
    正确翻译：'白 鸟 能 够 偿 ��ppe 的 鹤 鸣 。'
    正确翻译说明：
    正确翻译表述了文言文句子的含义。
    文言文句子所表达的"
王 在 灵 沼 ，,"'王 国 在 灵 沼 池 边 ，'
    正确翻译：'王 国 在 灵 沼 池 边 ，'
    正确翻译：'王 国 在 灵 沼 沸 水 池 边 ，'
    正确翻译：'王 国 在 灵 沼 沸 水"
王 在 灵 沼 ， 于 牣 鱼 跃 。,"'周 武 王 在 灵 沼 池 中 ， 沼 鱼 跃 起 来 。'
    正确翻译：'周 武 王 站 在 灵 沼 池 边 ， 沼 鱼 跃 起 来 。'

    正确翻译理"
于 牣 鱼 跃 。,"'把 牣 鱼 放 进 池 跃 跃 。'
    正确翻译：'把 牣 鱼 放 入 池 跃 跃 一 样 。'
    正确翻译：'把 牣 鱼 放 入 池 跃 跃 一 样 。'
    正确"
文 王 以 民 力 为 台 为 沼 。,"'文 王 将 使 用 百 姓 的 力 作 为 水 坑 ，'
    正确翻译：'文 王 建 造 了 一 个 大 水 坑 ，'
    正确翻译：'文 王 用 了 百 姓 的 力 作 为 堤 室 ，'"
而 民 欢 乐 之 ，,"'而 民 围 绕 着 这 个 城 下 ，'
    正确翻译：'而 国 民 欢 愉 地 围 绕 着 这 个 城 下 ，'
    正确翻译：'而 国 民 欢 乐 地 围 绕 着 这 个 城 下"
而 民 欢 乐 之 ， 谓 其 台 曰 灵 台 ，,"'而 民 围 绕 着 那 池 边 ， 总 是 欢 愉 ， 叫 做 灵 台 ，'

    正确翻译是：
    正确翻译：'而 人 们 围 绕 着 那 池"
而 民 欢 乐 之 ， 谓 其 台 曰 灵 台 ， 谓 其 沼 曰 灵 沼 ，,'而 人 民 快 乐 ， 把 它 比 较 象 台 面 做 灵 台 ， 把 它 比 较 象 池 面 做 灵 沼
谓 其 台 曰 灵 台 ，,"'把 它 叫 做 灵 台 ，'
    正确翻译：'叫 做 灵 台 ，'
    正确翻译：'叫 做 灵 台 ，'
    正确翻译：'叫 做 灵 台 ，'
    正确����"
谓 其 台 曰 灵 台 ， 谓 其 沼 曰 灵 沼 ，,"'把 它 叫 做 灵 台 ， 把 它 叫 做 灵 沼 ，'
    正确翻译：'它 被 叫 做 灵 台 ， 它 被 ��"
谓 其 台 曰 灵 台 ， 谓 其 沼 曰 灵 沼 ， 乐 其 有 麋 鹿 鱼 鳖 。,'把 它 划 为 灵 台 ， 把 它 划 为 灵 沼 ， 快 乐 它 有 麋 鹿 、
谓 其 沼 曰 灵 沼 ，,"'把 那 个 池 叫 做 灵 沼 ，'
    正确翻译：'叫 这 个 池 做 为 灵 沼 ，'
    正确翻译：'叫 这 个 池 做 为 灵 沼 ，'
    正确����"
谓 其 沼 曰 灵 沼 ， 乐 其 有 麋 鹿 鱼 鳖 。,"'把 那 个 池 叫 做 灵 沼 ， 快 乐 它 有 麋 鹿 、 鱼 鳖 等 很 珍 禽 珠 宝 。'
</syntaxhighlight>

=="
乐 其 有 麋 鹿 鱼 鳖 。,"'快 乐 于 有 麋 鹿 、 鱼 鳖 等 异 兄 弟 。'
    正确翻译说明：
    正确翻译是：'快 乐 于 有 狄 人 、 鲤 鱼 、 鳖 等 异 类 的"
古 之 人 与 民 偕 乐 ，,"'昔 代 的 君 王 与 百 姓 一 起 快 乐 ，'
    正确翻译：'昔 代 的 君 王 和 百 姓 一 起 快 乐 的 时 候 ，'
    正确翻译：'昔 代 的 君 王 和 百 姓 一 起"
古 之 人 与 民 偕 乐 ， 故 能 乐 也 。,"'昔 天 下 的 人 与 百 姓 相 互 亲 爱 ， 所 以 能 够 快 乐 的 。'
    正确翻译理由：
    正确翻译理由：'昔 天 下 的 君 子 与 百 姓 相 �"
故 能 乐 也 。,"'所 以 能 够 快 乐 的 。'
    正确翻译：'所 以 能 够 快 乐 的 是 。'
    正确翻译：'所 以 能 够 快 乐 的 是 。'
    正确翻译：'所 以 能 够 快 乐 的 是 。'
    正确"
汤 誓 曰 ：,"'汤 誓 曾 经 说 ：'
    正确翻译：'汤 誓 道 ：'
    正确翻译：'汤 誓 言 ：'
    正确翻译：'汤 誓 言 ：'
    正确翻译：'汤 誓 宣 誓 ：'"
汤 誓 曰 ： 时 日 害 丧 ？,"'汤 诗 说 ： 时 间 快 尘 侵 犯 您 宋 国 吗 ？'
    正确翻译说明：
    正确翻译是：'汤 诗 说 ： 时 间 快 尘 侵 犯 ��"
时 日 害 丧 ？,"'天 天 又 丧 爱 岂 有 呢 ？'
    正确翻译说明：
    正确翻译：
    正确翻译：

    正确翻译：
    正确翻译：
    正确翻译：
    正确翻译：
    正确翻译：
    正"
予 及 女 偕 亡 。,"'我 宁 可 偕 亡 一 个 姑 娘 ，'
    正确翻译：'我 愿 意 宁 可 害 怕 一 个 姑 娘 ，'
    正确翻译：'我 愿 意 害 怕 受 侵 犯"
民 欲 与 之 偕 亡 ，,"'百 姓 都 想 与 他 一 起 做 仗 兵 ，'
    正确翻译：'百 姓 都 想 象 是 一 起 做 仗 兵 ，'
    正确翻译：'百 姓 都 想 象 是 一 起 做 仗 兵 ，'"
民 欲 与 之 偕 亡 ， 虽 有 台 池 鸟 兽 ，,"'百 姓 想 要 与 他 们 一 起 停 执 在 台 ， 即 使 有 台 池 里 有 很 多 鸟 兽 ，'
    正确翻译说明：
    正确翻译：'百 姓"
民 欲 与 之 偕 亡 ， 虽 有 台 池 鸟 兽 ， 岂 能 独 乐 哉 ？,'百 姓 都 想 与 你 同 样 停 执 在 台 ， 即 使 你 有 台 池 里 放 放 鸟 鸟 鸟 ， 怎 么 能 够
虽 有 台 池 鸟 兽 ，,"'即 使 有 台 面 池 鸟 猫 ，'

    正确翻译是：
    正确翻译：'即 使 有 水 壳 面 池 的 动 物 ，'
    正确翻译：'即 使 有 水 壳 面 池 的 动 物 ，'
    正"
虽 有 台 池 鸟 兽 ， 岂 能 独 乐 哉 ？,"'即 使 有 台 岛 的 鸟 兽 ， 怎 么 能 够 孤 善 归 狄 执 尊 呢 ？'
    正确翻译的说明：
    正确翻译的原因："
岂 能 独 乐 哉 ？,"'怎 么 能 够 独 自 做 哪 种 东 西 呢 ？'
    正确翻译说明：
    正确翻译是：
    正确翻译表述了文言文句子的含义。
    正确翻译准确地将文言文句子的古文文"
邹 与 鲁 哄 。,"'邹 国 与 鲁 国 害 怕 彼 人 又 害 怕 彼 人 ，'
    正确翻译说明：
    正确翻译：'邹 国 和 鲁 国 都 害 怕 彼 人 ，'
    正确翻译解释："
穆 公 问 曰 ：,"'穆 公 问 道 ：'
    正确翻译：'穆 公 问 ：'

    正确翻译是什么？
    正确翻译是：
    正确翻译：'穆 公 问 ：'
    正确翻译是：'穆 公 问 道 ：'
    正确翻译是："
穆 公 问 曰 ： 吾 有 司 死 者 三 十 三 人 ，,"'穆 公 问 道 ： 我 的 官 吏 死 了 三 十 三 个 ，'
    正确翻译：'穆 公 问 ： 我 的 官 吏 人 均 坏 死 了 ，'
    正确翻译：'穆"
穆 公 问 曰 ： 吾 有 司 死 者 三 十 三 人 ， 而 民 莫 之 死 也 。,"'穆 公 问 道 ： 我 的 官 吏 死 了 三 十 三 个 ， 但 是 人 民 却 不 会 害 死 他 们 。'
</poem>

== 问  ==

<poem>"
吾 有 司 死 者 三 十 三 人 ，,"'我 的 官 吏 死 了 三 十 三 个 ，'
    正确翻译：'我 的 官 吏 各 种 人 均 坏 死 了 ，'
    正确翻译：'我 的 官 吏 各 类 人 都 坏 死 了 ，'
    正确"
吾 有 司 死 者 三 十 三 人 ， 而 民 莫 之 死 也 。,"'我 的 官 吏 死 了 三 十 三 个 ， 而 人 民 却 不 会 害 死 他 们 。'
</syntaxhighlight>

== 文言文 ==
文言文是汉语文言文，是汉语文言文文言文文言文文言文文言文文言文文言文"
而 民 莫 之 死 也 。,"'而 民 却 不 会 受 伤 死 了 。'
    正确翻译：
    正确翻译：'而 民 却 不 会 受 伤 死 了 。'
    正确翻译：'而 民 却 不 会 受 伤 死 了 。'
    正确翻"
诛 之 ，,"'杀 他 们 ，'
    正确翻译：'杀 他 们 ，'
    说明：
    文言文句子'诛 他 ，'表达的是'杀 杀 他 们 ，'这 个 翻 译 正 确 。'

    正确翻译是 因 为'诛 他 ，'这 个 翻 译"
诛 之 ， 则 不 可 胜 诛 ；,"'杀 他 们 ， 那 倒 是 不 会 胜 胜 过 杀 他 们 ；'
    正确翻译说明：
    正确翻译是：'杀 他 们 ， 这 就 不 会 胜 胜 过 他 们 ；'
    正确翻译"
则 不 可 胜 诛 ；,"'就 算 不 能 胜 诛 ；'
    正确翻译：'就 算 是 不 能 胜 诛 的 ；'
    正确翻译：'就 算 是 不 能 胜 诛 的 ；'
    正确翻译：'就 算 是 不 能 胜 诛 的 ；'"
不 诛 ，,"'不 杀 ，'
    正确翻译：'不 杀 人 ，'
    正确翻译：'不 杀 人 ，'
    正确翻译：'不 杀 人 ，'
    正确翻译：'不 杀 人 ，'
    正确翻译：'不 杀 人 ，'
    正确翻译"
不 诛 ， 则 疾 视 其 长 上 之 死 而 不 救 ，,"'不 杀 他 ， 那 么 看 待 他 的 长 官 上 面 却 不 救 他 ，'
    正确翻译：'不 杀 他 ， 那 么 看 待 他 的 高 官 却 不 救 他 ，'"
不 诛 ， 则 疾 视 其 长 上 之 死 而 不 救 ， 如 之 何 则 可 也 ？,"'不 杀 他 ， 那 倒 是 看 待 长 官 上 届 的 死 亲 而 不 挽 救 ， 这 就 是 怎 么 办 才 呢 ？'
    正确��"
则 疾 视 其 长 上 之 死 而 不 救 ，,"'就 算 是 看 待 长 官 即 尸 而 不 救 他 ，'
    正确翻译说明：
    正确翻译：
    正确翻译：
    正确翻译：

    正确翻译：
    正确翻译：
    正"
则 疾 视 其 长 上 之 死 而 不 救 ， 如 之 何 则 可 也 ？,"'那 么 看 待 他 们 长 辈 的 死 亲 而 不 救 他 们 ， 这 种 情 况 怎 么 可 以 劝 励 他 们 呢 ？'
    正确翻译的原因："
如 之 何 则 可 也 ？,"'这 就 是 最 大 的 好 办 法 吗 ？'
    正确翻译说明：
    正确翻译是：
    正确翻译：
    
    正确翻译是：
    正确翻译：
    正确翻译：
    正确翻译：
    正确翻译："
孟 子 对 曰 ：,"'孟 子 回 答 说 ：'
    正确翻译：'孟 子 回 答 说 ：'

    正确翻译是什 么好 的？
    正确翻译是 什 么 好 的
    正确翻译是 什 么 好 的
    正确翻译是 什"
孟 子 对 曰 ： 凶 年 饥 岁 ，,"'孟 子 回 答 道 ： 灾 荒 年 岁 ，'
    正确翻译：'孟 子 回 答 ： 灾 荒 年 的 时 候 ，'
    正确翻译：'孟 子 回 答 ： 灾"
孟 子 对 曰 ： 凶 年 饥 岁 ， 君 之 民 老 弱 转 乎 沟 壑 ，,"'孟 子 回 答 道 ： 灾 荒 年 年 ， 国 君 的 人 民 老 弱 借 用 沟 壑 ，'
    正确翻译意思：'��"
凶 年 饥 岁 ，,"'灾 荒 年 年 伐 ，'
    正确翻译：'灾 荒 年 年 伐 ，'
    正确翻译：'灾 荒 年 年 伐 ，'
    正确翻译：'灾 荒 年 年 伐 ，'
    正确翻译：'"
凶 年 饥 岁 ， 君 之 民 老 弱 转 乎 沟 壑 ，,"'灾 荒 年 年 坏 年 ， 国 家 的 老 百 姓 沿 着 河 岸 边 借 沟 壑 寻 废 处 ，'
    正确翻译意思：'灾"
凶 年 饥 岁 ， 君 之 民 老 弱 转 乎 沟 壑 ， 壮 者 散 而 之 四 方 者 ，,'灾 荒 年 年 轻 年 老 弱 的 时 候 ， 君 主 的 百 姓 总 是 沿 着 河 岸 岛 ��
君 之 民 老 弱 转 乎 沟 壑 ，,"'您 的 人 民 老 弱 借 交 通 路 岭 高 峰 ，'
    正确翻译：'您 的 老 百 姓 易 便 借 用 沟 壑 和 高 山 作 为 交 通 路 岭 ，'"
君 之 民 老 弱 转 乎 沟 壑 ， 壮 者 散 而 之 四 方 者 ，,"'您 的 百 姓 老 弱 借 你 把 他 们 挤 满 沟 壑 ， 年 轻 的 人 散 开 他 们 四 周 ，'
    正确翻译"
君 之 民 老 弱 转 乎 沟 壑 ， 壮 者 散 而 之 四 方 者 ， 几 千 人 矣 ；,'您 的 百 姓 老 弱 借 你 把 他 们 把 人 们 把 人 们 把 人 们 把 人 们 把 人 们
壮 者 散 而 之 四 方 者 ，,"'年 轻 勇 者 散 开 四 面 ，'
    正确翻译：'年 轻 勇 士 散 开 四 面 面 ，'
    正确翻译：'年 轻 勇 士 散 开 四 面 面 ，'
    正确翻译：'年"
壮 者 散 而 之 四 方 者 ， 几 千 人 矣 ；,"'年 轻 勇 者 逃 荒 野 而 充 全 四 周 ， 有 几 千 人 吧 ？'
    正确翻译的说明：
    正确翻译的说明：
    正确翻译的说明：


== response =="
几 千 人 矣 ；,"'几 千 人 有 办 法 吗 ？'
    正确翻译理由：
    正确翻译理由：'几 千 人 的 行 为 是 有 办 法 的 吗 ？'
    正确翻译是 的原因是：
    正确翻译是 的原因是：'几 千"
而 君 之 仓 廪 实 ，,"'而 你 做 的 仓 室 厨 厨 ，'

    正确翻译是：
    正确翻译：'而 你 总 是 把 厨 厨 劳 勤 ，'
    正确翻译是：'而 你 总 是 把 厨 ��"
而 君 之 仓 廪 实 ， 府 库 充 ，,'而 宋 国 的 �
而 君 之 仓 廪 实 ， 府 库 充 ， 有 司 莫 以 告 ，,"'而 你 宋 国 的 仓 室 劳 耕 ， 货 库 充 足 ， 官 吏 不 把 信 任 的 信 息 告 诉 ，'
    正确翻译意思：'而 中 国"
府 库 充 ，,"'国 库 装 满 ，'
    正确翻译：'国 库 装 满 ，'
    正确翻译：'国 库 充 满 ，'
    正确翻译：'国 库 装 满 ，'
    正确翻译：'国 库 装 满 ，'
    正确翻译：'国 库"
府 库 充 ， 有 司 莫 以 告 ，,"'国 库 装 满 ， 官 吏 不 愿 意 受 邀 ，'
    正确翻译：
    正确翻译：'国 库 装 满 ， 官 吏 不 愿 意 接 受 邀 请 ，'
    正确翻译：'国"
府 库 充 ， 有 司 莫 以 告 ， 是 上 慢 而 残 下 也 。,'充 够 财 库 ， 官 吏 不 愿 意 受 侵 犯 ， 是 因 为 是 上 税 辖 的 ， 而 下 面 剩 下 一 瓦 破 的 。'
有 司 莫 以 告 ，,"'官 吏 们 却 不 愿 意 受 邀 ，'
    正确翻译：
    正确翻译：'官 吏 却 不 想 去 接 受 邀 请 ，'
    正确翻译：'官 吏 们 却 不 想 去 接 受 邀"
有 司 莫 以 告 ， 是 上 慢 而 残 下 也 。,"'官 吏 们 不 愿 意 受 邀 ， 是 因 为 他 们 慢 慢 地 回 答 ， 而 剩 下 别 人 。'
    正确翻译的原因：
    在这个翻译中，'有 司"
是 上 慢 而 残 下 也 。,"'这 就 是 上 级 别 人 慢 慢 地 做 仓 仓 地 方 ，'
    正确翻译：'这 就 是 上 级 别 人 慢 慢 地 做 仓 库 ，'
    正确翻译：'这 就 是"
曾 子 曰 ：,"'曾 子 说 ：'
    正确翻译：'曾 子 说 ：'

    正确翻译是什么？
    正确翻译是：
    正确翻译：'曾 子 说 ：'
    正确翻译是：'曾 子 说 ：'
    正确翻译是：'曾 子"
曾 子 曰 ： 戒 之 戒 之 ！,"'曾 子 说 ： 准 备 战 战 ！'
    正确翻译理由：
    正确翻译理由：'曾 子 的 话 是 指 要 准 备 面 对 敌 人 的 时 候 ，'
    正确翻译：'正"
戒 之 戒 之 ！,"'准 备 战 备 战 备 ！'
    正确翻译理由：
    正确翻译理由：'战 争 的 时 候 ，'
    正确翻译理由：'这 个 时 候 ，'
    正确翻译理由：'人 民 都 准 备 �"
出 乎 尔 者 ，,"'几 么 怪 你 呢 ，'
    正确翻译：'很 奇 怪 你 呢 ，'
    正确翻译：'很 奇 怪 你 呢 ，'
    正确翻译：'很 奇 怪 你 呢 ，'
    正确翻译：'很 奇 怪 你 ��"
出 乎 尔 者 ， 反 乎 尔 者 也 。,"'是 不 得 以 您 为 仗 服 ， 是 不 得 以 您 为 仗 服 的 。'
    正确翻译说明：
    正确翻译解释：
    正确翻译的意思是：'是 不 得 以 您 为 仗 服"
反 乎 尔 者 也 。,"'是 你 呢 。'
    正确翻译：
    正确翻译：'是 你 呢 。'
    正确翻译：'是 你 呢 。'
    正确翻译：'是 你 呢 。'
    正确翻译：'是 你 呢 。'
    正确翻译：'是"
夫 民 今 而 后 得 反 之 也 。,"'现 在 的 人 民 却 能 够 反 对 待 他 们 的 政 治 ，'
    正确翻译：'现 在 的 人 民 能 够 反 对 待 他 们 的 政 治 ，'
    正确翻译：'现 在 的 人 民 能 够"
君 无 尤 焉 。,"'您 们 坚 守 正 道 ，'
    正确翻译：'您 们 坚 守 正 确 道 路 ，'
    正确翻译：'您 们 坚 守 正 确 的 道 路 ，'
    正确翻译：'您 们 坚 守 正 确 的 道 路"
君 行 仁 政 ，,"'您 在 治 理 国 家 的 时 候 要 行 贤 政 ，'
    正确翻译：'您 在 治 理 国 家 的 时 候 应 该 做 贤 政 的 ，'
    正确翻译：'您 在 治 理 国 家 的 时 候 应 该 做 贤"
君 行 仁 政 ， 斯 民 亲 其 上 ，,"'如 果 君 主 做 的 政 体 制 是 仁 政 的 ， 那 里 的 百 姓 会 愿 意 坚 守 他 的 国 家 ，'

    正确翻译是：
    正确翻译：'如 果 君 主 的 政 体 制 是 仁 政"
君 行 仁 政 ， 斯 民 亲 其 上 ， 死 其 长 矣 。,"'如 果 君 主 善 政 ， 那 里 的 百 姓 会 愿 意 干 推 他 们 到 尊 敬 他 们 的 上 司 ， 他 们 的 长 官 会 灭 终 了 。'

    正确�"
斯 民 亲 其 上 ，,"'这 个 国 家 亲 近 他 们 的 上 帝 ，'
    正确翻译：'这 个 国 家 亲 近 神 国 ，'
    正确翻译：'这 个 国 家 亲 近 神 国 ，'
    正确翻译：'这 个 国 家 亲 近 上 帝 ，'"
