translation,modern_translation,bleu_score,bleurt_score,bert_score
范 仲 淹 二 岁 的 时 候 成 了 孤 儿 。,范 仲 才 在 二 岁 才 被 孤 弃 ， 他 几 乎 忘,6.9681484127616906e-155,0.3567972183227539,0.7367131114006042
范 仲 淹 二 岁 的 时 候 成 了 孤 儿 。 母 亲 很 穷 ， 没 有 依 靠 。,年 岁 二 岁 才 孤 单 ， 母 亲 贫 穷 ， 不 敢 挟 着 他 们 ,6.0157543757845445e-155,0.3845419287681579,0.7168519496917725
范 仲 淹 二 岁 的 时 候 成 了 孤 儿 。 母 亲 很 穷 ， 没 有 依 靠 。 就 改 嫁 到 了 常 山 的 朱 家 。,国 范 仲 东 子 孟 子 洪 水 二 岁 时 孤 儿 ， 母 亲 贫 穷 ， 后 来 又 能 够 适 度 地 侍 候 于 山 朱 子 ,7.455014825922596e-155,0.3748074173927307,0.6950147151947021
母 亲 很 穷 ， 没 有 依 靠 。,"母 亲 恭 恭 不 鞠 板 ， 没 有 权 力 相 比 ,",3.3252037442622604e-78,0.4295452237129211,0.6878026127815247
母 亲 很 穷 ， 没 有 依 靠 。 就 改 嫁 到 了 常 山 的 朱 家 。,现 在 母 亲 们 们 们 是 贫 富 很 差 的 ， 我 们 只 有 适 够 的 山 地 居 住 地 方 ， 周 密 地 安 邠 族 的 人 。,4.152586198841012e-155,0.2554796040058136,0.6291094422340393
就 改 嫁 到 了 常 山 的 朱 家 。,一 次 再 有 所 不 适 忍 佛 的 山 ， 朱 子 的 阻 止 不 断 绝 。,1.2035620841904512e-231,0.2109590321779251,0.5814064741134644
长 大 以 后 ，,是 已 长  Development ，,1.4488496539373276e-231,0.1417009532451629,0.5695595145225525
长 大 以 后 ， 知 道 了 自 己 的 生 世 ，,已 长 了 ， 知 道 自 己 的 世 家 ， 就 可 以 离 开 了 ， 不 用 担 心 。,3.5634144457411127e-78,0.4438430070877075,0.7026605606079102
长 大 以 后 ， 知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ，,已 况 的 长 官 ， 知 道 自 己 的 世 家 将 要 灭 终 ， 感 叹 而 哭 辞 藐 离 ，,3.2683416997819595e-78,0.3601837754249573,0.6665217280387878
长 大 以 后 ， 知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ， 离 开 去 应 天 府 的 南 都 学 舍 读 书 。,已 长 了 ， 知 道 自 己 要 去 学 习 ， 感 叹 着 诗 词 语 ， 离 开 快 乐 的 世 家 ， 离 开 快 乐 的 国 家 ,2.95880460083302e-78,0.2683395445346832,0.657651960849762
知 道 了 自 己 的 生 世 ，,知 道 自 己 的 世 家 ， 那 就 不 怎 么 办 了 呢 ？ ， 我 们 要 去 爱 民 ,2.5751259695884524e-78,0.1627722978591919,0.6821810007095337
知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ，,知 道,5.003989162961595e-158,0.1214675977826118,0.5136616826057434
知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ， 离 开 去 应 天 府 的 南 都 学 舍 读 书 。,知 道 自 己 的 世 家 ， 感 受 到 诗 词 叫 叫 而 流 泪 ， 离 开 他 们 后 一 年 去 到 南 天 国 学 得 很 高 ，,2.9709583063858556e-78,0.2199492454528808,0.7015968561172485
含 着 眼 泪 告 别 母 亲 ，,是 感 泄 辞 猛 妻 ， 牵 动 心 慌 慌 ， 猜 测 是 诗 句 吧 ,8.726094729337946e-232,0.2466720938682556,0.5602726936340332
含 着 眼 泪 告 别 母 亲 ， 离 开 去 应 天 府 的 南 都 学 舍 读 书 。,感 动 到 泪 水 流 萁 ， 离 开 后 就 迁 到 南 方 的 大 都  ， 上 学 到 巧 趋 筑 。,2.1856718250793204e-78,0.3396538197994232,0.6780951619148254
离 开 去 应 天 府 的 南 都 学 舍 读 书 。,一 年 四 季 才 够 离 开 ， 离 开 后 就 赶 快 上 学 。 ,5.043788381574437e-155,0.3906958103179931,0.6193958520889282
白 天 、 深 夜 都 认 真 读 书 。,昼 夜 都 学 坏 倍 劳 劳 糊 糊 地 学 习 ， 学 不 倒 缩 ,4.241303569364337e-155,0.4038633704185486,0.6420164108276367
白 天 、 深 夜 都 认 真 读 书 。 五 年 中 ， 竟 然 没 有 曾 经 脱 去 衣 服 上 床 睡 觉 。,昼 夜 学  hard ， 五 年 不 解 却 停 了 睡 觉 。,1.3306253342398055e-78,0.2468883991241455,0.6753299236297607
五 年 中 ， 竟 然 没 有 曾 经 脱 去 衣 服 上 床 睡 觉 。,五 年 没 有 解 决 他 们 坞 的 就 寝 坞 里 。,5.337102335264827e-155,0.2074178606271743,0.6577206254005432
有 时 夜 里 感 到 昏 昏 欲 睡 ，,又 觉 了 很 昏 失 明 ，,8.853864984883468e-232,0.4810384511947632,0.6438934803009033
有 时 夜 里 感 到 昏 昏 欲 睡 ， 往 往 把 水 浇 在 脸 上 。,一 次 是 夜 幕 下 犹 昏 昧 ， 辄 为 利 益 而 修 养 干 劲 的 。,1.2035620841904512e-231,0.1763417720794677,0.6345701813697815
往 往 把 水 浇 在 脸 上 。,杨 贲 以 水 沥 扫 荒 田 。,1.250849891192838e-231,0.3337105214595794,0.6550695300102234
什 么 也 不 吃 ，,晏 子 说 ： 我 往 日 糖 薗 易 如 金 ，,9.594503055152632e-232,0.0488618090748786,0.5620195269584656
什 么 也 不 吃 ， 直 到 日 头 偏 西 才 吃 一 点 东 西 。 就 这 样 ，,过 往 没 有 充 满 糖 干 的 糖 水 ， 日 昃 时 候 就 开 始 吃 饭 了 ，,1.2439956612288085e-231,0.19399493932724,0.6308338046073914
